
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1700_17000bs2048lr0.1d0.001e5                     :   735.3   63.3   239.0     400    60      96  216   46  138    12
   2 1600_16000bs2048lr0.1d0.001e6                     :   701.8   67.6   278.0     500    56      98  247   62  191    12
   3 1500_15000bs2048lr0.1d0.001e7                     :   665.8   56.2   310.5     600    52      85  269   83  248    14
   4 1400_14000bs2048lr0.1d0.001e6                     :   648.6   59.6   352.5     700    50      53  304   97  299    14
   5 1300_13000bs2048lr0.1d0.001e5                     :   647.2   59.6   418.0     800    52      98  369   98  333    12
   6 1200_12000bs2048lr0.1d0.001e5                     :   613.0   60.1   418.0     800    52      96  359  118  323    15
   7 1000_10000bs2048lr0.1d0.001e5                     :   585.8   52.4   469.0     800    59      78  416  106  278    13
   8 1100_11000bs2048lr0.1d0.001e5                     :   574.0   55.2   411.5     800    51     100  355  113  332    14
   9 900_9000bs2048lr0.1d0.001e5                       :   522.7   53.8   438.0     800    55     100  389   98  313    12
  10 800_8000bs2048lr0.1d0.001e4                       :   412.8   53.3   359.5     800    45      86  315   89  396    11
  11 700_7000bs2048lr0.1d0.001e4                       :   394.8   51.0   384.0     800    48     100  339   90  371    11
  12 500_5000bs2048lr0.1d0.001e4                       :   330.1   51.1   396.0     800    50      74  344  104  352    13
  13 600_6000bs2048lr0.1d0.001e4                       :   318.8   49.1   340.0     800    43      99  296   88  416    11
  14 450_4500bs2048lr0.1d0.001e4                       :   283.5   47.2   379.5     800    47      80  330   99  371    12
  15 400_4000bs2048lr0.1d0.001e4                       :   268.9   43.8   391.5     800    49      94  354   75  371     9
  16 300_3000bs2048lr0.1d0.001e4                       :   246.3   39.1   416.0     800    52      75  374   84  342    11
  17 350_3500bs2048lr0.1d0.001e5                       :   236.3   45.0   376.0     800    47      95  334   84  382    11
  18 250_2500bs2048lr0.1d0.001e4                       :   211.3   37.0   415.5     800    52      55  362  107  331    13
  19 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   43.3   331.5     600    55      82  297   69  234    12
  20 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   40.8   357.0     700    51     100  326   62  312     9
  21 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   38.8   214.5     500    43     100  178   73  249    15
  22 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 1.78 +/- 3.97
Draw rate (equal opponents) = 12.58 % +/- 0.39

