
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1900_19000bs2048lr0.1d0.001e5                     :   753.0   72.7   278.5     500    56      69  238   81  181    16
   2 2000_20000bs2048lr0.1d0.001e5                     :   742.8   69.9   213.5     408    52      76  180   67  161    16
   3 1700_17000bs2048lr0.1d0.001e5                     :   729.4   64.5   381.0     700    54      75  335   92  273    13
   4 1800_18000bs2048lr0.1d0.001e8                     :   718.2   70.1   308.5     600    51      75  261   95  244    16
   5 1600_16000bs2048lr0.1d0.001e6                     :   707.9   67.1   420.0     800    53      58  367  106  327    13
   6 Felix                                             :   692.2  167.6    23.0      32    72      63   20    6    6    19
   7 1500_15000bs2048lr0.1d0.001e7                     :   664.6   65.3   389.0     800    49      80  329  120  351    15
   8 1400_14000bs2048lr0.1d0.001e6                     :   650.7   65.4   395.0     800    49      58  338  114  348    14
   9 1300_13000bs2048lr0.1d0.001e5                     :   647.5   63.7   418.0     800    52      98  369   98  333    12
  10 1200_12000bs2048lr0.1d0.001e5                     :   613.9   63.7   418.0     800    52      96  359  118  323    15
  11 1000_10000bs2048lr0.1d0.001e5                     :   585.5   64.0   471.0     808    58      77  418  106  284    13
  12 1100_11000bs2048lr0.1d0.001e5                     :   574.3   62.2   411.5     800    51     100  355  113  332    14
  13 900_9000bs2048lr0.1d0.001e5                       :   522.8   56.9   438.0     800    55     100  389   98  313    12
  14 800_8000bs2048lr0.1d0.001e4                       :   412.9   58.6   359.5     800    45      87  315   89  396    11
  15 700_7000bs2048lr0.1d0.001e4                       :   394.9   52.3   384.0     800    48     100  339   90  371    11
  16 500_5000bs2048lr0.1d0.001e4                       :   329.8   51.3   396.5     808    49      76  344  105  359    13
  17 600_6000bs2048lr0.1d0.001e4                       :   318.8   53.2   340.0     800    43      98  296   88  416    11
  18 450_4500bs2048lr0.1d0.001e4                       :   283.7   48.6   380.5     808    47      83  330  101  377    13
  19 400_4000bs2048lr0.1d0.001e4                       :   268.9   47.6   391.5     800    49      95  354   75  371     9
  20 300_3000bs2048lr0.1d0.001e4                       :   246.3   45.4   416.0     800    52      77  374   84  342    11
  21 350_3500bs2048lr0.1d0.001e5                       :   236.3   46.0   376.0     800    47      94  334   84  382    11
  22 250_2500bs2048lr0.1d0.001e4                       :   211.4   40.4   415.5     800    52      55  362  107  331    13
  23 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   41.6   331.5     600    55      82  297   69  234    12
  24 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   42.2   357.0     700    51     100  326   62  312     9
  25 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   38.9   214.5     500    43     100  178   73  249    15
  26 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 3.93 +/- 3.90
Draw rate (equal opponents) = 13.10 % +/- 0.32

