
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 3000_30000bs2048lr0.1d0.001e5                     :   836.0   65.3   225.5     408    55      64  186   79  143    19
   2 2800_28000bs2048lr0.1d0.001e5                     :   829.6   66.8   281.5     500    56      61  233   97  170    19
   3 Felix                                             :   811.5  130.3    22.5      32    70      55   19    7    6    22
   4 2600_26000bs2048lr0.1d0.001e8                     :   803.1   68.3   316.5     600    53      74  270   93  237    16
   5 2200_22000bs2048lr0.1d0.001e5                     :   792.1   63.8   426.0     800    53      93  353  146  301    18
   6 2400_24000bs2048lr0.1d0.001e6                     :   769.0   65.4   340.0     700    49      88  270  140  290    20
   7 1900_19000bs2048lr0.1d0.001e5                     :   751.2   65.1   416.5     800    52      98  351  131  318    16
   8 2000_20000bs2048lr0.1d0.001e5                     :   723.0   67.4   360.5     808    45      55  294  133  381    16
   9 1700_17000bs2048lr0.1d0.001e5                     :   720.8   64.2   417.5     800    52      54  364  107  329    13
  10 1800_18000bs2048lr0.1d0.001e8                     :   719.3   63.7   398.0     800    50      86  327  142  331    18
  11 1600_16000bs2048lr0.1d0.001e6                     :   702.8   62.7   420.0     800    53     100  367  106  327    13
  12 1500_15000bs2048lr0.1d0.001e7                     :   661.5   60.8   389.0     800    49      78  329  120  351    15
  13 1400_14000bs2048lr0.1d0.001e6                     :   647.8   57.2   395.0     800    49      59  338  114  348    14
  14 1300_13000bs2048lr0.1d0.001e5                     :   644.4   58.7   418.0     800    52      97  369   98  333    12
  15 1200_12000bs2048lr0.1d0.001e5                     :   611.6   57.2   418.0     800    52      94  359  118  323    15
  16 1000_10000bs2048lr0.1d0.001e5                     :   585.0   57.5   471.0     808    58      79  418  106  284    13
  17 1100_11000bs2048lr0.1d0.001e5                     :   572.5   52.2   411.5     800    51     100  355  113  332    14
  18 900_9000bs2048lr0.1d0.001e5                       :   521.8   51.6   438.0     800    55     100  389   98  313    12
  19 800_8000bs2048lr0.1d0.001e4                       :   412.3   48.6   359.5     800    45      84  315   89  396    11
  20 700_7000bs2048lr0.1d0.001e4                       :   394.5   49.5   384.0     800    48     100  339   90  371    11
  21 500_5000bs2048lr0.1d0.001e4                       :   331.0   47.9   397.5     808    49      77  344  107  357    13
  22 600_6000bs2048lr0.1d0.001e4                       :   318.7   47.3   340.0     800    43      99  296   88  416    11
  23 450_4500bs2048lr0.1d0.001e4                       :   283.5   41.4   379.5     800    47      82  330   99  371    12
  24 400_4000bs2048lr0.1d0.001e4                       :   269.1   46.9   391.5     800    49      96  354   75  371     9
  25 300_3000bs2048lr0.1d0.001e4                       :   246.6   43.4   416.0     800    52      74  374   84  342    11
  26 350_3500bs2048lr0.1d0.001e5                       :   236.5   41.8   376.0     800    47      94  334   84  382    11
  27 250_2500bs2048lr0.1d0.001e4                       :   211.5   41.0   415.5     800    52      55  362  107  331    13
  28 from00000_150_1500bs2048lr0.1d0.001e3             :   209.1   37.9   331.5     600    55      79  297   69  234    12
  29 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.3   41.8   357.0     700    51     100  326   62  312     9
  30 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.5   45.8   214.5     500    43     100  178   73  249    15
  31 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 10.15 +/- 3.40
Draw rate (equal opponents) = 14.13 % +/- 0.34

