
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 4000_40000bs2048lr0.1d0.001e11                    :   887.1   75.3   230.5     408    56      89  203   55  150    13
   2 3600_36000bs2048lr0.1d0.001e7                     :   863.0   73.1   266.0     500    53      86  223   86  191    17
   3 3200_32000bs2048lr0.1d0.001e6                     :   843.4   75.9   310.0     600    52      72  256  108  236    18
   4 2800_28000bs2048lr0.1d0.001e5                     :   833.1   71.4   420.5     800    53      61  349  143  308    18
   5 3000_30000bs2048lr0.1d0.001e5                     :   828.8   74.5   355.0     708    50      92  295  120  293    17
   6 2600_26000bs2048lr0.1d0.001e8                     :   809.4   70.6   409.5     800    51      61  344  131  325    16
   7 Felix                                             :   795.2  118.0    25.0      40    63      52   21    8   11    20
   8 2200_22000bs2048lr0.1d0.001e5                     :   793.0   69.0   426.0     800    53      94  353  146  301    18
   9 2400_24000bs2048lr0.1d0.001e6                     :   768.1   71.3   377.5     800    47      83  298  159  343    20
  10 1900_19000bs2048lr0.1d0.001e5                     :   752.6   68.0   416.5     800    52      97  351  131  318    16
  11 2000_20000bs2048lr0.1d0.001e5                     :   724.5   65.9   360.5     808    45      57  294  133  381    16
  12 1700_17000bs2048lr0.1d0.001e5                     :   721.9   62.4   417.5     800    52      55  364  107  329    13
  13 1800_18000bs2048lr0.1d0.001e8                     :   720.1   62.8   398.0     800    50      86  327  142  331    18
  14 1600_16000bs2048lr0.1d0.001e6                     :   703.9   60.8   420.0     800    53     100  367  106  327    13
  15 1500_15000bs2048lr0.1d0.001e7                     :   662.4   63.0   389.0     800    49      84  329  120  351    15
  16 1400_14000bs2048lr0.1d0.001e6                     :   648.6   56.3   395.0     800    49      60  338  114  348    14
  17 1300_13000bs2048lr0.1d0.001e5                     :   645.1   57.3   418.0     800    52      99  369   98  333    12
  18 1200_12000bs2048lr0.1d0.001e5                     :   612.3   57.9   418.0     800    52      98  359  118  323    15
  19 1000_10000bs2048lr0.1d0.001e5                     :   585.5   59.4   471.0     808    58      79  418  106  284    13
  20 1100_11000bs2048lr0.1d0.001e5                     :   573.1   58.5   411.5     800    51     100  355  113  332    14
  21 900_9000bs2048lr0.1d0.001e5                       :   522.3   54.0   438.0     800    55     100  389   98  313    12
  22 800_8000bs2048lr0.1d0.001e4                       :   412.7   48.8   359.5     800    45      87  315   89  396    11
  23 700_7000bs2048lr0.1d0.001e4                       :   394.9   52.7   384.0     800    48     100  339   90  371    11
  24 500_5000bs2048lr0.1d0.001e4                       :   331.3   49.9   397.5     808    49      78  344  107  357    13
  25 600_6000bs2048lr0.1d0.001e4                       :   319.0   47.1   340.0     800    43      99  296   88  416    11
  26 450_4500bs2048lr0.1d0.001e4                       :   283.8   46.3   379.5     800    47      84  330   99  371    12
  27 400_4000bs2048lr0.1d0.001e4                       :   269.3   46.5   391.5     800    49      93  354   75  371     9
  28 300_3000bs2048lr0.1d0.001e4                       :   246.8   45.3   416.0     800    52      71  374   84  342    11
  29 350_3500bs2048lr0.1d0.001e5                       :   236.7   51.1   376.0     800    47      93  334   84  382    11
  30 250_2500bs2048lr0.1d0.001e4                       :   211.7   41.1   415.5     800    52      56  362  107  331    13
  31 from00000_150_1500bs2048lr0.1d0.001e3             :   209.3   42.4   331.5     600    55      81  297   69  234    12
  32 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.5   39.1   357.0     700    51     100  326   62  312     9
  33 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.6   41.9   214.5     500    43     100  178   73  249    15
  34 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 14.87 +/- 3.07
Draw rate (equal opponents) = 14.37 % +/- 0.32

